LabName	LabAddress	SiteIdentifier	SerialNumber	SoftwareVersion	Operator	FilterDateRangeStart	FilterDateRangeEnd	FilterIncludeAlerts	FilterIncludeAudits	FilterSeverity	FilterOperator
MBI TS LAB	3471 RIVER HILLS DR., CINCINNATI OH 45244		231285	4.3.4	supervisor	05/01/2023	05/31/2023	Yes	Yes	Error, Error, Informational, Warning	-

Time	Code	Type	Severity	Operator	Description	DescriptionEnglish
2023-05-02 16:40:56	4002	Alert	Informational	System	Authentication failure for operator Tech.	Authentication failure for operator Tech.
2023-05-02 16:41:08	4002	Alert	Informational	System	Authentication failure for operator admin.	Authentication failure for operator admin.
2023-05-02 16:41:28	3019	Audit		admin	Operator admin logged in.	Operator admin logged in.
2023-05-04 14:41:46	4007	Alert	Warning	System	The maximum number of days (180) since the last purge has been exceeded.   The last successful purge was performed on 9/9/2021 4:11:33 PM -04:00.	The maximum number of days (180) since the last purge has been exceeded.   The last successful purge was performed on 09/09/2021 16:11:33 -04:00.
2023-05-04 14:41:46	4024	Alert	Warning	System	The maximum number of days (30) since the last backup has been exceeded.   The last successful backup was performed on 3/23/2023 3:23:03 PM -04:00.	The maximum number of days (30) since the last backup has been exceeded.   The last successful backup was performed on 03/23/2023 15:23:03 -04:00.
2023-05-04 14:41:49	4020	Alert	Informational	System	Instrument serial number changed to 231285.	Instrument serial number changed to 231285.
2023-05-04 14:42:14	3019	Audit		admin	Operator admin logged in.	Operator admin logged in.
2023-05-08 12:26:19	4007	Alert	Warning	System	The maximum number of days (180) since the last purge has been exceeded.   The last successful purge was performed on 9/9/2021 4:11:33 PM -04:00.	The maximum number of days (180) since the last purge has been exceeded.   The last successful purge was performed on 09/09/2021 16:11:33 -04:00.
2023-05-08 12:26:19	4024	Alert	Warning	System	The maximum number of days (30) since the last backup has been exceeded.   The last successful backup was performed on 3/23/2023 3:23:03 PM -04:00.	The maximum number of days (30) since the last backup has been exceeded.   The last successful backup was performed on 03/23/2023 15:23:03 -04:00.
2023-05-08 12:44:22	3019	Audit		admin	Operator admin logged in.	Operator admin logged in.
2023-05-08 12:45:19	3002	Audit		admin	Application configuration setting LIS Connectivity changed from None to ASTM.	Application configuration setting LIS Connectivity changed from None to ASTM.
2023-05-08 12:45:19	3002	Audit		admin	Application configuration setting LIS Transport was set to TcpIp.	Application configuration setting LIS Transport was set to TcpIp.
2023-05-08 12:45:19	3002	Audit		admin	Application configuration setting LIS Host Name was set to 192.168.86.140.	Application configuration setting LIS Host Name was set to 192.168.86.140.
2023-05-08 12:45:19	3002	Audit		admin	Application configuration setting LIS Host Port was set to 11011.	Application configuration setting LIS Host Port was set to 11011.
2023-05-08 12:45:20	4011	Alert	Warning	admin	Communications with the LIS Host has failed	Communications with the LIS Host has failed
2023-05-08 12:51:45	3002	Audit		admin	Application configuration setting LIS Host Name changed from 192.168.86.140 to 169.254.218.207.	Application configuration setting LIS Host Name changed from 192.168.86.140 to 169.254.218.207.
2023-05-08 12:52:19	4011	Alert	Warning	admin	Communications with the LIS Host has failed	Communications with the LIS Host has failed
2023-05-08 12:52:19	4009	Alert	Warning	admin	Failed to send test results to LIS for Sample GBSL30P1-DRY Assay GLB	Failed to send test results to LIS for Sample GBSL30P1-DRY Assay GLB
2023-05-08 12:52:19	3016	Audit		admin	GLB test for sample GBSL30P1-DRY released to LIS failed.	GLB test for sample GBSL30P1-DRY released to LIS failed.
2023-05-08 12:52:19	4009	Alert	Warning	admin	Failed to send test results to LIS for Sample GBSL30P2-DRY Assay GLB	Failed to send test results to LIS for Sample GBSL30P2-DRY Assay GLB
2023-05-08 12:52:19	3016	Audit		admin	GLB test for sample GBSL30P2-DRY released to LIS failed.	GLB test for sample GBSL30P2-DRY released to LIS failed.
2023-05-08 12:52:19	4009	Alert	Warning	admin	Failed to send test results to LIS for Sample GBSL30P1-DRY Assay GLB	Failed to send test results to LIS for Sample GBSL30P1-DRY Assay GLB
2023-05-08 12:52:19	3016	Audit		admin	GLB test for sample GBSL30P1-DRY released to LIS failed.	GLB test for sample GBSL30P1-DRY released to LIS failed.
2023-05-08 12:52:19	4009	Alert	Warning	admin	Failed to send test results to LIS for Sample GBSL30P2-DRY Assay GLB	Failed to send test results to LIS for Sample GBSL30P2-DRY Assay GLB
